[_w m iː n ]_w
[_w t̪ r i d̪ː ]_w
[_w v uː ʔ u ]_w
[_w t̪ː l ɪː t̪ ]_w
[_w z i t̪ː ]_w
[_w l e ɡ z ]_w
[_w ɡ oː l i ]_w
[_w p t̪ a ɡ ]_w
[_w r aw n d̪ ]_w
[_w i ħ o pː ]_w
[_w ɡ a z i ]_w
[_w s i r d̪ ]_w
[_w b d̪ a k ]_w
[_w d̪ oː d̪ː ]_w
[_w dʒ iː t̪ ]_w
[_w e l v ]_w
[_w j ħ o pː ]_w
[_w ɡ aː d̪ u ]_w
[_w d̪ eː r a ]_w
[_w d̪ r a t̪ː ]_w
[_w t̪ ʔ iː s ]_w
[_w v iː n ]_w
[_w d̪ i ɡ i ]_w
[_w t̪ a f ]_w
[_w d̪ː n uː b ]_w
[_w z iː ħ ]_w
[_w aː s l u ]_w
[_w ɡ aː t̪ aː ]_w
[_w s ew dʒ t̪ ]_w
[_w ɡ o w l ]_w
[_w z ew dʒ aː ]_w
[_w b o r d̪ ]_w
[_w tʃː a n z ]_w
[_w e r p a ]_w
[_w ɡ iː v ]_w
[_w p a s i ]_w
[_w v o n d̪ ]_w
[_w ɡ e r aː ]_w
[_w t̪ ɪː ɡ ]_w
[_w k ɪː d̪ ]_w
[_w n a v ]_w
[_w d̪ o r t̪ ]_w
[_w t̪ a kː a ]_w
[_w zː e n a ]_w
[_w z i d̪ː a ]_w
[_w v iː k ]_w
[_w z o mː a ]_w
[_w ɡ aː t̪ː ]_w
[_w z e ħː ]_w
[_w b t̪ a ɡ ]_w
[_w b i s a ]_w
[_w t̪ o r k ]_w
[_w z ew dʒ ]_w
[_w f d̪ iː t̪ ]_w
[_w f a n d̪ ]_w
[_w b i j u ]_w
[_w dʒ o d̪ː a ]_w
[_w v e lː a ]_w
[_w n aː t̪ː u ]_w
[_w aː t̪ː e j ]_w
[_w p o r ɡ ]_w
[_w v i t̪ː a ]_w
[_w n aː t̪ a ]_w
[_w t̪ i ɡ a ]_w
[_w k iː t̪ ]_w
[_w tʃ e k a ]_w
[_w d̪ a d̪ ]_w
[_w z iː r ]_w
[_w p iː s ]_w
[_w ɡ a m p ]_w
[_w j i z i ]_w
[_w t̪ i ɡ i ]_w
[_w b o r k ]_w
[_w z ɪː ɡ aː ]_w
[_w i z iː b ]_w
[_w aː d̪ː ew ]_w
[_w t̪ a ʔ d̪ ]_w
[_w z a v a ]_w
[_w b e pː i ]_w
[_w d̪ m uː t̪ ]_w
[_w i dʒ iː p ]_w
[_w k a m b ]_w
[_w ɡ s uː r ]_w
[_w p t̪ ɪː t̪ ]_w
[_w d̪ e o ]_w
[_w uː s u ]_w
[_w j z iː r ]_w
[_w z a n ]_w
[_w z a b u ]_w
[_w d̪ a r t̪ ]_w
[_w d̪ uː l ]_w
[_w d̪ uː n ]_w
[_w j r iː t̪ ]_w
[_w j a v ]_w
[_w dʒ t̪ iː d̪ ]_w
[_w r i ɡ a ]_w
[_w tʃ a r i ]_w
[_w d̪ a l ]_w
[_w l uː s u ]_w
[_w tʃ e j t̪ ]_w
[_w n aː d̪ aw ]_w
[_w z a b ]_w
[_w z iː d̪ ]_w
[_w s ɪː t̪ ]_w
[_w d̪ i v i ]_w
[_w ħ aj d̪ i ]_w
[_w b a r ɡ ]_w
[_w r a z ]_w
[_w d̪ a r f ]_w
[_w aː l iː ɡ ]_w
[_w p a z i ]_w
[_w s i d̪ː ]_w
[_w s k o b ]_w
[_w z e ħː ew ]_w
[_w z i dʒː u ]_w
[_w r a z u ]_w
[_w t̪ iː ɡ ]_w
[_w ʔ i z u ]_w
[_w z i r d̪ ]_w
[_w ɡ aː t̪ː a ]_w
[_w s a iː t̪ ]_w
[_w b a r k ]_w
[_w v o t̪ ]_w
[_w t̪ o pː a ]_w
[_w sː i p t̪ ]_w
[_w z ɡ o r ]_w
[_w d̪ a ʔ d̪ ]_w
[_w tʃ a n z ]_w
[_w w ħ uː t̪ ]_w
[_w z a l ]_w
[_w r a z aː ]_w
[_w d̪ a s ]_w
[_w k o r d̪ ]_w
[_w z aː a ]_w
[_w s i r t̪ ]_w
[_w z a iː t̪ ]_w
[_w d̪ ɪː k ]_w
[_w t̪ a v ]_w
[_w t̪ː r i d̪ː ]_w
[_w d̪ uː z a ]_w
[_w d̪ i dʒ i ]_w
[_w z i d̪ː ]_w
[_w n s iː p ]_w
[_w i n z a ]_w
[_w zː e ħː ]_w
[_w d̪ o n d̪ ]_w
[_w b i t̪ u ]_w
[_w p a b a ]_w
[_w s a v a ]_w
[_w ɡ a p ]_w
[_w z ej r ]_w
[_w n e d̪ː ]_w
[_w d̪ ħ uː l ]_w
[_w ħ aj d̪ ]_w
[_w f i d̪ u ]_w
[_w d̪ aː t̪ː i ]_w
[_w z b i sː ]_w
[_w d̪ a f ʃ ]_w
[_w d̪ a ʔ t̪ ]_w
[_w ɡ e j ]_w
[_w d̪ a f ]_w
[_w v i t̪ i ]_w
[_w m ɪː k iː ]_w
[_w d̪ uː r i ]_w
[_w t̪ k iː d̪ ]_w
[_w a r d̪ ]_w
[_w a d̪ a m ]_w
[_w z i b d̪ ]_w
[_w p o a d̪ ]_w
[_w d̪ m uː d̪ ]_w
[_w z o d̪ ]_w
[_w t̪ ɡ iː t̪ ]_w
[_w b t̪ ɪː d̪ ]_w
[_w d̪ i tʃ i ]_w
[_w tʃ a p u ]_w
[_w l d̪ iː m ]_w
[_w d̪ ɪː ɡ iː ]_w
[_w a d̪ː a kː ]_w
[_w v iː t̪ ]_w
[_w z iː a d̪ ]_w
[_w b d̪ ɪː t̪ ]_w
[_w z e r ]_w
[_w d̪ aː d̪ː i ]_w
[_w j ɡ iː t̪ ]_w
[_w p t̪ ɪː d̪ ]_w
[_w z e t̪ e ]_w
[_w ħ uː d̪ i ]_w
[_w n o f z ]_w
[_w dʒː iː p ]_w
[_w z e t̪ a ]_w
[_w i s iː p ]_w
[_w b i z a ]_w
[_w j z o mː ]_w
[_w e s a d̪ː ]_w
[_w v a n t̪ ]_w
[_w d̪ aː d̪ ]_w
[_w r o kː u ]_w
[_w s b i zː ]_w
[_w d̪ aː d̪ i ]_w
[_w aː t̪ː ɪː t̪ ]_w
[_w v uː ʔ i ]_w
[_w tʃ ɪː t̪ ]_w
[_w ħ t̪ a n ]_w
[_w d̪ m iː r ]_w
[_w p a zː ]_w
[_w v i d̪ː a ]_w
[_w j z iː b ]_w
[_w k a d̪ː ]_w
[_w d̪ i k i ]_w
[_w j a v u ]_w
[_w v i t̪ u ]_w
[_w b l o kː ]_w
[_w f k a z ]_w
[_w i zː e r ]_w
[_w z d̪ iː l ]_w
[_w d̪ ɪː ɡ ]_w
[_w t̪ iː p ]_w
[_w z ew t̪ a ]_w
[_w z ɡ ɪː d̪ ]_w
[_w b a zː ]_w
[_w k o r z ]_w
[_w v a n d̪ ]_w
[_w p a p a ]_w
[_w ɡ o r k ]_w
[_w ɡ aː t̪ ]_w
[_w m ew d̪ ]_w
[_w d̪ ħ o bː ]_w
[_w d̪ i ɡ a ]_w
[_w d̪ a zː ew ]_w
[_w z ɪː t̪ ]_w
[_w ħ aj d̪ u ]_w
[_w p a tʃ i ]_w
[_w v a t̪ i ]_w
[_w v i l i ]_w
[_w aː ɡ a ]_w
[_w d̪ i p t̪ ]_w
[_w d̪ aː t̪ ]_w
[_w l aː t̪ː ]_w
[_w v a d̪ː ]_w
[_w z ɡ ɪː t̪ ]_w
[_w z d̪ ɪː t̪ ]_w
[_w e p t̪ a ]_w
[_w f ɡ a s ]_w
[_w d̪ a t̪ a ]_w
[_w v iː ɡ ]_w
[_w d̪ n uː p ]_w
[_w p e l d̪ ]_w
[_w l ɡ a z ]_w
[_w z iː t̪ ]_w
[_w ɡ a m b ]_w
[_w d̪ iː p ]_w
[_w z aː r ]_w
[_w d̪ l e d̪ː ]_w
[_w l v a d̪ː ]_w
[_w d̪ eː r u ]_w
[_w z n iː n ]_w
[_w t̪ i p t̪ ]_w
[_w i z iː p ]_w
[_w f j a kː ]_w
[_w z ej r a ]_w
[_w t̪ m i zː ]_w
[_w ʃ o r p ]_w
[_w i p n i ]_w
[_w f l o kː ]_w
[_w ʔ r iː p ]_w
[_w d̪ ɪː k uː ]_w
[_w t̪ l e d̪ː ]_w
[_w ɡ o r d̪ ]_w
[_w z ɪː t̪ a ]_w
[_w d̪ a v u ]_w
[_w sː e n z ]_w
[_w j i ɡ i ]_w
[_w z e mː a ]_w
[_w s m aj d̪ ]_w
[_w d̪ a z ]_w
[_w d̪ː n uː p ]_w
[_w i tʃ iː p ]_w
[_w d̪ iː ɡ ]_w
[_w b ʔ aj d̪ ]_w
[_w i p n u ]_w
[_w t̪ aj d̪ ]_w
[_w z o d̪ a ]_w
[_w s b i sː ]_w
[_w z i b t̪ ]_w
[_w v o r z ]_w
[_w z ɪː d̪ ]_w
[_w z m aj t̪ ]_w
[_w z a mː ]_w
[_w d̪ uː s a ]_w
[_w s p i zː ]_w
[_w d̪ o r k ]_w
[_w tʃ ɪː d̪ ]_w
[_w v i d̪ u ]_w
[_w z i r t̪ ]_w
[_w z o d̪ i ]_w
[_w j dʒ iː p ]_w
[_w d̪ o r d̪ ]_w
[_w ɡ o r z ]_w
[_w z o t̪ i ]_w
[_w b d̪ a ɡ ]_w
[_w dʒ o r tʃ ]_w
[_w z e d̪ e ]_w
[_w t̪ i p i ]_w
[_w z iː a t̪ ]_w
[_w z v a d̪ ]_w
[_w v o t̪ i ]_w
[_w i m i zː ]_w
[_w v o d̪ ]_w
[_w s i p t̪ ]_w
[_w v a d̪ a ]_w
[_w n z iː p ]_w
[_w d̪ ħ o pː ]_w
[_w v o d̪ i ]_w
[_w f z a n ]_w
[_w b a z i ]_w
[_w b e l d̪ ]_w
[_w z ew dʒ t̪ ]_w
[_w p aj d̪ a ]_w
[_w z a p ]_w
[_w z a iː d̪ ]_w
[_w v a d̪ i ]_w
[_w tʃ e j d̪ ]_w
[_w f z ew dʒ ]_w
[_w z i p t̪ ]_w
[_w z e p a ]_w
[_w z ew d̪ a ]_w
[_w i p e n ]_w
[_w zː e n z ]_w
[_w z a p u ]_w
[_w e fː e d̪ː ]_w
[_w v i d̪ i ]_w
[_w z ɪː d̪ a ]_w
[_w l e ɡ s ]_w
[_w i d̪ː iː p ]_w
[_w z ɡ o b ]_w
[_w i t̪ː iː p ]_w
[_w z m aj d̪ ]_w
[_w d̪ m i zː ]_w
[_w d̪ o pː a ]_w
[_w v e r z ]_w
[_w j z iː p ]_w
[_w z b i zː ]_w
[_w v j a kː ]_w
[_w d̪ i p i ]_w
[_w z e d̪ː ]_w
